"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"89","1563304574.129038","88.210.175.226","137.50.19.227","60","65535",""
"90","1563304574.129049","137.50.19.227","88.210.175.226","2974","31088",""
"91","1563304574.130796","88.210.175.226","137.50.19.227","60","65535","0.038017000"
"92","1563304574.133531","88.210.175.226","137.50.19.227","60","65535",""
"93","1563304574.133547","137.50.19.227","88.210.175.226","2974","31088",""
"94","1563304574.134798","88.210.175.226","137.50.19.227","60","65535","0.040062000"
"95","1563304574.137417","88.210.175.226","137.50.19.227","60","65535",""
"96","1563304574.137434","137.50.19.227","88.210.175.226","2974","31088",""
"97","1563304574.138303","88.210.175.226","137.50.19.227","60","65535","0.042870000"
"98","1563304574.138313","137.50.19.227","88.210.175.226","1514","31088",""
"99","1563304574.138833","88.210.175.226","137.50.19.227","60","65535",""
"100","1563304574.140148","88.210.175.226","137.50.19.227","60","65535","0.042378000"
"101","1563304574.140161","137.50.19.227","88.210.175.226","2974","31088",""
"102","1563304574.142762","88.210.175.226","137.50.19.227","60","65535",""
"103","1563304574.142768","137.50.19.227","88.210.175.226","1514","31088",""
"104","1563304574.143157","88.210.175.226","137.50.19.227","60","65535","0.042968000"
"105","1563304574.146235","88.210.175.226","137.50.19.227","60","65535","0.044400000"
"106","1563304574.146242","137.50.19.227","88.210.175.226","2974","31088",""
"107","1563304574.146250","88.210.175.226","137.50.19.227","60","65535",""
"108","1563304574.148001","88.210.175.226","137.50.19.227","60","65535","0.043653000"
"109","1563304574.148018","137.50.19.227","88.210.175.226","2974","31088",""
"110","1563304574.148939","88.210.175.226","137.50.19.227","60","65535","0.042423000"
"111","1563304574.148950","137.50.19.227","88.210.175.226","1514","31088",""
"112","1563304574.150773","88.210.175.226","137.50.19.227","60","65535",""
"113","1563304574.152028","88.210.175.226","137.50.19.227","60","65535","0.043482000"
"114","1563304574.152045","137.50.19.227","88.210.175.226","2974","31088",""
"115","1563304574.153564","88.210.175.226","137.50.19.227","60","65535","0.043416000"
"116","1563304574.153580","137.50.19.227","88.210.175.226","1514","31088",""
"117","1563304574.155226","88.210.175.226","137.50.19.227","60","65535",""
"118","1563304574.156852","88.210.175.226","137.50.19.227","60","65535","0.043484000"
"119","1563304574.156862","137.50.19.227","88.210.175.226","2974","31088",""
"120","1563304574.157250","88.210.175.226","137.50.19.227","60","65535",""
"121","1563304574.160034","88.210.175.226","137.50.19.227","60","65535","0.044505000"
"122","1563304574.160058","137.50.19.227","88.210.175.226","2974","31088",""
"123","1563304574.161121","88.210.175.226","137.50.19.227","60","65535","0.043917000"
"124","1563304574.161133","137.50.19.227","88.210.175.226","2974","31088",""
"125","1563304574.162859","88.210.175.226","137.50.19.227","60","65535",""
"126","1563304574.163852","88.210.175.226","137.50.19.227","60","65535","0.044336000"
"127","1563304574.163862","137.50.19.227","88.210.175.226","2974","31088",""
"128","1563304574.165837","88.210.175.226","137.50.19.227","60","65535","0.043149000"
"129","1563304574.165853","137.50.19.227","88.210.175.226","1514","31088",""
