"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"88","1563798632.144669","137.50.19.137","192.168.121.214","1514","8192",""
"89","1563798632.144674","192.168.121.214","137.50.19.137","54","65535","0.000005000"
"90","1563798632.149859","137.50.19.137","192.168.121.214","1514","8192",""
"91","1563798632.150006","137.50.19.137","192.168.121.214","1514","8192",""
"92","1563798632.150011","192.168.121.214","137.50.19.137","54","65535","0.000005000"
"93","1563798632.150221","137.50.19.137","192.168.121.214","1514","8192",""
"94","1563798632.151290","137.50.19.137","192.168.121.214","1514","8192",""
"95","1563798632.151294","192.168.121.214","137.50.19.137","54","65535","0.000004000"
"96","1563798632.151534","137.50.19.137","192.168.121.214","1514","8192",""
"97","1563798632.151740","137.50.19.137","192.168.121.214","1514","8192",""
"98","1563798632.151744","192.168.121.214","137.50.19.137","54","65535","0.000004000"
"99","1563798632.153153","137.50.19.137","192.168.121.214","1514","8192",""
"100","1563798632.153273","137.50.19.137","192.168.121.214","1514","8192",""
"101","1563798632.153278","192.168.121.214","137.50.19.137","54","65535","0.000005000"
"102","1563798632.153572","137.50.19.137","192.168.121.214","1514","8192",""
"103","1563798632.154591","137.50.19.137","192.168.121.214","1514","8192",""
"104","1563798632.154596","192.168.121.214","137.50.19.137","54","65535","0.000005000"
"105","1563798632.181092","137.50.19.137","192.168.121.214","1514","8192",""
"106","1563798632.181614","137.50.19.137","192.168.121.214","1514","8192",""
"107","1563798632.181621","192.168.121.214","137.50.19.137","54","65535","0.000007000"
"108","1563798632.181988","137.50.19.137","192.168.121.214","1514","8192",""
"109","1563798632.183012","137.50.19.137","192.168.121.214","1514","8192",""
"110","1563798632.183019","192.168.121.214","137.50.19.137","54","65535","0.000007000"
"111","1563798632.183504","137.50.19.137","192.168.121.214","1514","8192",""
"112","1563798632.184520","137.50.19.137","192.168.121.214","1514","8192",""
"113","1563798632.184528","192.168.121.214","137.50.19.137","54","65535","0.000008000"
"114","1563798632.184972","137.50.19.137","192.168.121.214","1514","8192",""
"115","1563798632.185927","137.50.19.137","192.168.121.214","1514","8192",""
"116","1563798632.185934","192.168.121.214","137.50.19.137","54","65535","0.000007000"
"117","1563798632.186436","137.50.19.137","192.168.121.214","1514","8192",""
"118","1563798632.187353","137.50.19.137","192.168.121.214","1514","8192",""
"119","1563798632.187361","192.168.121.214","137.50.19.137","54","65535","0.000008000"
"120","1563798632.187878","137.50.19.137","192.168.121.214","1514","8192",""
"121","1563798632.189478","137.50.19.137","192.168.121.214","1514","8192",""
"122","1563798632.189488","192.168.121.214","137.50.19.137","54","65535","0.000010000"
"123","1563798632.189965","137.50.19.137","192.168.121.214","1514","8192",""
"124","1563798632.194211","137.50.19.137","192.168.121.214","1514","8192",""
"125","1563798632.194221","192.168.121.214","137.50.19.137","54","65535","0.000010000"
"126","1563798632.194844","137.50.19.137","192.168.121.214","1514","8192",""
"127","1563798632.195863","137.50.19.137","192.168.121.214","1514","8192",""
"128","1563798632.195875","192.168.121.214","137.50.19.137","54","65535","0.000012000"
"129","1563798632.196323","137.50.19.137","192.168.121.214","1514","8192",""
"130","1563798632.197207","137.50.19.137","192.168.121.214","1349","8192",""
"131","1563798632.197219","192.168.121.214","137.50.19.137","54","65535","0.000012000"
"132","1563798632.197783","137.50.19.137","192.168.121.214","1514","8192",""
"133","1563798632.199145","137.50.19.137","192.168.121.214","1514","8192",""
"134","1563798632.199156","192.168.121.214","137.50.19.137","54","65535","0.000011000"
"135","1563798632.199630","137.50.19.137","192.168.121.214","1514","8192",""
"136","1563798632.200660","137.50.19.137","192.168.121.214","1514","8192",""
"137","1563798632.200670","192.168.121.214","137.50.19.137","54","65535","0.000010000"
"138","1563798632.201101","137.50.19.137","192.168.121.214","1514","8192",""
"139","1563798632.202080","137.50.19.137","192.168.121.214","1514","8192",""
"140","1563798632.202090","192.168.121.214","137.50.19.137","54","65535","0.000010000"
"141","1563798632.202574","137.50.19.137","192.168.121.214","1514","8192",""
"142","1563798632.203563","137.50.19.137","192.168.121.214","1514","8192",""
"143","1563798632.203574","192.168.121.214","137.50.19.137","54","65535","0.000011000"
"144","1563798632.204014","137.50.19.137","192.168.121.214","1514","8192",""
"145","1563798632.204968","137.50.19.137","192.168.121.214","1514","8192",""
"146","1563798632.204978","192.168.121.214","137.50.19.137","54","65535","0.000010000"
"147","1563798632.205431","137.50.19.137","192.168.121.214","1514","8192",""
"148","1563798632.206359","137.50.19.137","192.168.121.214","1514","8192",""
"149","1563798632.206370","192.168.121.214","137.50.19.137","54","65535","0.000011000"
"150","1563798632.221124","137.50.19.137","192.168.121.214","1514","8192",""
"151","1563798632.221592","137.50.19.137","192.168.121.214","1514","8192",""
"152","1563798632.221603","192.168.121.214","137.50.19.137","54","65535","0.000011000"
"153","1563798632.221958","137.50.19.137","192.168.121.214","1514","8192",""
"154","1563798632.223031","137.50.19.137","192.168.121.214","1514","8192",""
"155","1563798632.223042","192.168.121.214","137.50.19.137","54","65535","0.000011000"
