"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"88","1563801023.988219","137.50.19.137","10.8.0.6","1398","30016",""
"89","1563801023.988231","10.8.0.6","137.50.19.137","52","64608","0.000012000"
"90","1563801023.988261","137.50.19.137","10.8.0.6","1398","30016",""
"91","1563801023.988326","137.50.19.137","10.8.0.6","1398","30016",""
"92","1563801023.988341","10.8.0.6","137.50.19.137","52","64608","0.000015000"
"93","1563801023.988369","137.50.19.137","10.8.0.6","1398","30016",""
"94","1563801023.988526","137.50.19.137","10.8.0.6","1398","30016",""
"95","1563801023.988540","10.8.0.6","137.50.19.137","52","64608","0.000014000"
"96","1563801023.996327","137.50.19.137","10.8.0.6","1398","30016",""
"97","1563801024.028091","137.50.19.137","10.8.0.6","1398","30016",""
"98","1563801024.028113","10.8.0.6","137.50.19.137","52","64608","0.000022000"
"99","1563801024.028157","137.50.19.137","10.8.0.6","1398","30016",""
"100","1563801024.028232","137.50.19.137","10.8.0.6","1398","30016",""
"101","1563801024.028242","10.8.0.6","137.50.19.137","52","64608","0.000010000"
"102","1563801024.028266","137.50.19.137","10.8.0.6","1398","30016",""
"103","1563801024.028322","137.50.19.137","10.8.0.6","1398","30016",""
"104","1563801024.028330","10.8.0.6","137.50.19.137","52","64608","0.000008000"
"105","1563801024.028349","137.50.19.137","10.8.0.6","1398","30016",""
"106","1563801024.028374","137.50.19.137","10.8.0.6","1398","30016",""
"107","1563801024.028381","10.8.0.6","137.50.19.137","52","64608","0.000007000"
"108","1563801024.028409","137.50.19.137","10.8.0.6","1398","30016",""
"109","1563801024.028455","137.50.19.137","10.8.0.6","1398","30016",""
"110","1563801024.028462","10.8.0.6","137.50.19.137","52","64608","0.000007000"
"111","1563801024.028607","137.50.19.137","10.8.0.6","1398","30016",""
"112","1563801024.028891","137.50.19.137","10.8.0.6","1398","30016",""
"113","1563801024.028905","10.8.0.6","137.50.19.137","52","64608","0.000014000"
"114","1563801024.031199","137.50.19.137","10.8.0.6","1398","30016",""
"115","1563801024.031461","137.50.19.137","10.8.0.6","1398","30016",""
"116","1563801024.031472","10.8.0.6","137.50.19.137","52","64608","0.000011000"
"117","1563801024.031568","137.50.19.137","10.8.0.6","1398","30016",""
"118","1563801024.031806","137.50.19.137","10.8.0.6","1398","30016",""
"119","1563801024.031814","10.8.0.6","137.50.19.137","52","64608","0.000008000"
"120","1563801024.031835","137.50.19.137","10.8.0.6","1398","30016",""
"121","1563801024.046677","137.50.19.137","10.8.0.6","1398","30016",""
"122","1563801024.046685","10.8.0.6","137.50.19.137","52","64608","0.000008000"
"123","1563801024.607025","137.50.19.137","10.8.0.6","1398","30016",""
"124","1563801024.617766","137.50.19.137","10.8.0.6","1398","30016",""
"125","1563801024.617789","10.8.0.6","137.50.19.137","52","64608","0.000023000"
"126","1563801024.617863","137.50.19.137","10.8.0.6","1398","30016",""
"127","1563801024.617897","137.50.19.137","10.8.0.6","1398","30016",""
"128","1563801024.617907","10.8.0.6","137.50.19.137","52","64608","0.000010000"
"129","1563801024.617935","137.50.19.137","10.8.0.6","1398","30016",""
"130","1563801024.618004","137.50.19.137","10.8.0.6","1398","30016",""
"131","1563801024.618013","10.8.0.6","137.50.19.137","52","64608","0.000009000"
"132","1563801024.618040","137.50.19.137","10.8.0.6","1398","30016",""
