"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"87","1563559096.826187","10.8.0.6","137.50.19.137","52","64608","0.000019000"
"88","1563559096.826215","137.50.19.137","10.8.0.6","1398","31088",""
"89","1563559096.826240","137.50.19.137","10.8.0.6","1398","31088",""
"90","1563559096.826248","10.8.0.6","137.50.19.137","52","64608","0.000008000"
"91","1563559096.826270","137.50.19.137","10.8.0.6","1398","31088",""
"92","1563559096.836532","137.50.19.137","10.8.0.6","1398","31088",""
"93","1563559096.836593","10.8.0.6","137.50.19.137","52","64608","0.000061000"
"94","1563559096.856164","137.50.19.137","10.8.0.6","1398","31088",""
"95","1563559096.856180","137.50.19.137","10.8.0.6","1398","31088",""
"96","1563559096.856187","10.8.0.6","137.50.19.137","52","64608","0.000007000"
"97","1563559096.866655","137.50.19.137","10.8.0.6","1398","31088",""
"98","1563559096.866713","137.50.19.137","10.8.0.6","1398","31088",""
"99","1563559096.866722","10.8.0.6","137.50.19.137","52","64608","0.000009000"
"100","1563559096.866739","137.50.19.137","10.8.0.6","1398","31088",""
"101","1563559096.866770","137.50.19.137","10.8.0.6","1398","31088",""
"102","1563559096.866774","10.8.0.6","137.50.19.137","52","64608","0.000004000"
"103","1563559096.866782","137.50.19.137","10.8.0.6","1398","31088",""
"104","1563559096.866928","137.50.19.137","10.8.0.6","1398","31088",""
"105","1563559096.866934","10.8.0.6","137.50.19.137","52","64608","0.000006000"
"106","1563559096.866998","137.50.19.137","10.8.0.6","1398","31088",""
"107","1563559096.867164","137.50.19.137","10.8.0.6","1398","31088",""
"108","1563559096.867170","10.8.0.6","137.50.19.137","52","64608","0.000006000"
"109","1563559096.867273","137.50.19.137","10.8.0.6","1398","31088",""
"110","1563559096.867416","137.50.19.137","10.8.0.6","1398","31088",""
"111","1563559096.867422","10.8.0.6","137.50.19.137","52","64608","0.000006000"
"112","1563559096.869205","137.50.19.137","10.8.0.6","1398","31088",""
"113","1563559096.869222","137.50.19.137","10.8.0.6","1398","31088",""
"114","1563559096.869229","10.8.0.6","137.50.19.137","52","64608","0.000007000"
"115","1563559096.869236","137.50.19.137","10.8.0.6","1398","31088",""
"116","1563559096.869425","137.50.19.137","10.8.0.6","1398","31088",""
"117","1563559096.869433","10.8.0.6","137.50.19.137","52","64608","0.000008000"
"118","1563559096.869495","137.50.19.137","10.8.0.6","1398","31088",""
"119","1563559096.874955","137.50.19.137","10.8.0.6","1398","31088",""
"120","1563559096.874960","10.8.0.6","137.50.19.137","52","64608","0.000005000"
"121","1563559097.486603","137.50.19.137","10.8.0.6","1398","31088",""
"122","1563559097.486626","137.50.19.137","10.8.0.6","1398","31088",""
"123","1563559097.486637","10.8.0.6","137.50.19.137","52","64608","0.000011000"
"124","1563559097.486649","137.50.19.137","10.8.0.6","1398","31088",""
"125","1563559097.495752","137.50.19.137","10.8.0.6","1398","31088",""
"126","1563559097.495772","10.8.0.6","137.50.19.137","52","64608","0.000020000"
"127","1563559097.495799","137.50.19.137","10.8.0.6","1398","31088",""
"128","1563559097.495817","137.50.19.137","10.8.0.6","1398","31088",""
"129","1563559097.495822","10.8.0.6","137.50.19.137","52","64608","0.000005000"
"130","1563559097.495838","137.50.19.137","10.8.0.6","1398","31088",""
"131","1563559097.505605","137.50.19.137","10.8.0.6","1398","31088",""
"132","1563559097.505630","10.8.0.6","137.50.19.137","52","64608","0.000025000"
"133","1563559097.525854","137.50.19.137","10.8.0.6","1398","31088",""
"134","1563559097.537578","137.50.19.137","10.8.0.6","1398","31088",""
"135","1563559097.537603","10.8.0.6","137.50.19.137","52","65535","0.000025000"
"136","1563559097.537679","137.50.19.137","10.8.0.6","1398","31088",""
"137","1563559097.537702","137.50.19.137","10.8.0.6","1398","31088",""
"138","1563559097.537711","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"139","1563559097.537729","137.50.19.137","10.8.0.6","1398","31088",""
"140","1563559097.545289","137.50.19.137","10.8.0.6","1398","31088",""
"141","1563559097.545303","10.8.0.6","137.50.19.137","52","65535","0.000014000"
"142","1563559097.576775","137.50.19.137","10.8.0.6","1398","31088",""
"143","1563559097.576854","137.50.19.137","10.8.0.6","1398","31088",""
"144","1563559097.576873","10.8.0.6","137.50.19.137","52","65535","0.000019000"
"145","1563559097.576947","137.50.19.137","10.8.0.6","1398","31088",""
"146","1563559097.576975","137.50.19.137","10.8.0.6","1398","31088",""
"147","1563559097.576984","10.8.0.6","137.50.19.137","52","65535","0.000009000"
"148","1563559097.577002","137.50.19.137","10.8.0.6","1398","31088",""
"149","1563559097.577021","137.50.19.137","10.8.0.6","1398","31088",""
"150","1563559097.577031","10.8.0.6","137.50.19.137","52","65535","0.000010000"
"151","1563559097.585849","137.50.19.137","10.8.0.6","1398","31088",""
"152","1563559097.585889","137.50.19.137","10.8.0.6","1398","31088",""
"153","1563559097.585905","10.8.0.6","137.50.19.137","52","65535","0.000016000"
"154","1563559097.585927","137.50.19.137","10.8.0.6","1398","31088",""
"155","1563559097.595391","137.50.19.137","10.8.0.6","1398","31088",""
"156","1563559097.595416","10.8.0.6","137.50.19.137","52","65535","0.000025000"
"157","1563559097.615328","137.50.19.137","10.8.0.6","1398","31088",""
"158","1563559097.628549","137.50.19.137","10.8.0.6","1398","31088",""
"159","1563559097.628610","10.8.0.6","137.50.19.137","52","65535","0.000061000"
"160","1563559097.628700","137.50.19.137","10.8.0.6","1398","31088",""
"161","1563559097.628733","137.50.19.137","10.8.0.6","1398","31088",""
"162","1563559097.628744","10.8.0.6","137.50.19.137","52","65535","0.000011000"
"163","1563559097.628768","137.50.19.137","10.8.0.6","1398","31088",""
"164","1563559097.628792","137.50.19.137","10.8.0.6","1398","31088",""
"165","1563559097.628800","10.8.0.6","137.50.19.137","52","65535","0.000008000"
