"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"91","1563306255.333048","137.50.19.137","10.8.0.6","1398","243",""
"92","1563306255.333050","137.50.19.137","10.8.0.6","1398","243",""
"93","1563306255.333052","137.50.19.137","10.8.0.6","1398","243",""
"94","1563306255.388398","10.8.0.6","137.50.19.137","52","972","0.772192000"
"95","1563306255.389031","137.50.19.137","10.8.0.6","1398","243",""
"96","1563306255.389035","137.50.19.137","10.8.0.6","1398","243",""
"97","1563306255.389036","137.50.19.137","10.8.0.6","1398","243",""
"98","1563306255.389038","137.50.19.137","10.8.0.6","1398","243",""
"99","1563306255.422218","10.8.0.6","137.50.19.137","52","1017","0.806010000"
"100","1563306255.422895","137.50.19.137","10.8.0.6","1398","243",""
"101","1563306255.422900","137.50.19.137","10.8.0.6","1398","243",""
"102","1563306255.422902","137.50.19.137","10.8.0.6","1398","243",""
"103","1563306255.422903","137.50.19.137","10.8.0.6","1398","243",""
"104","1563306255.917915","10.8.0.6","137.50.19.137","52","1063","0.674773000"
"105","1563306255.917966","10.8.0.6","137.50.19.137","52","1108","0.674821000"
"106","1563306255.918439","137.50.19.137","10.8.0.6","1398","243",""
"107","1563306255.918443","137.50.19.137","10.8.0.6","1398","243",""
"108","1563306255.918445","137.50.19.137","10.8.0.6","1398","243",""
"109","1563306255.918446","137.50.19.137","10.8.0.6","1398","243",""
"110","1563306255.918475","137.50.19.137","10.8.0.6","1398","243",""
"111","1563306255.918477","137.50.19.137","10.8.0.6","1398","243",""
"112","1563306255.918478","137.50.19.137","10.8.0.6","1398","243",""
"113","1563306255.918480","137.50.19.137","10.8.0.6","1398","243",""
"114","1563306255.918703","10.8.0.6","137.50.19.137","52","1153","0.675419000"
"115","1563306255.919200","137.50.19.137","10.8.0.6","1398","243",""
"116","1563306255.919204","137.50.19.137","10.8.0.6","1398","243",""
"117","1563306255.919206","137.50.19.137","10.8.0.6","1398","243",""
"118","1563306255.919207","137.50.19.137","10.8.0.6","1398","243",""
"119","1563306255.980872","10.8.0.6","137.50.19.137","52","1198","0.737585000"
"120","1563306255.981469","137.50.19.137","10.8.0.6","1398","243",""
"121","1563306255.981474","137.50.19.137","10.8.0.6","1398","243",""
"122","1563306255.981476","137.50.19.137","10.8.0.6","1398","243",""
"123","1563306255.981477","137.50.19.137","10.8.0.6","1398","243",""
"124","1563306256.010198","10.8.0.6","137.50.19.137","52","1244","0.765964000"
"125","1563306256.010273","10.8.0.6","137.50.19.137","52","1289","0.766035000"
"126","1563306256.010737","137.50.19.137","10.8.0.6","1398","243",""
"127","1563306256.010744","137.50.19.137","10.8.0.6","1398","243",""
"128","1563306256.010746","137.50.19.137","10.8.0.6","1398","243",""
"129","1563306256.010748","137.50.19.137","10.8.0.6","1398","243",""
"130","1563306256.010763","137.50.19.137","10.8.0.6","1398","243",""
"131","1563306256.010765","137.50.19.137","10.8.0.6","1398","243",""
"132","1563306256.010767","137.50.19.137","10.8.0.6","1398","243",""
"133","1563306256.010769","137.50.19.137","10.8.0.6","1398","243",""
"134","1563306256.060785","10.8.0.6","137.50.19.137","52","1334","0.763773000"
"135","1563306256.060878","10.8.0.6","137.50.19.137","52","1379","0.763862000"
"136","1563306256.061260","137.50.19.137","10.8.0.6","1398","243",""
"137","1563306256.061264","137.50.19.137","10.8.0.6","1398","243",""
"138","1563306256.061265","137.50.19.137","10.8.0.6","1398","243",""
"139","1563306256.061271","137.50.19.137","10.8.0.6","1398","243",""
"140","1563306256.061273","137.50.19.137","10.8.0.6","1398","243",""
"141","1563306256.061279","137.50.19.137","10.8.0.6","1398","243",""
"142","1563306256.061280","137.50.19.137","10.8.0.6","1398","243",""
"143","1563306256.100317","10.8.0.6","137.50.19.137","52","1419","0.803249000"
"144","1563306256.100351","10.8.0.6","137.50.19.137","52","1444","0.803278000"
"145","1563306256.100792","137.50.19.137","10.8.0.6","1398","243",""
"146","1563306256.100799","137.50.19.137","10.8.0.6","1398","243",""
"147","1563306256.100802","137.50.19.137","10.8.0.6","1398","243",""
"148","1563306256.100804","137.50.19.137","10.8.0.6","1398","243",""
"149","1563306256.100830","137.50.19.137","10.8.0.6","1398","243",""
"150","1563306256.100859","137.50.19.137","10.8.0.6","1398","243",""
"151","1563306256.100862","137.50.19.137","10.8.0.6","1398","243",""
"152","1563306256.100864","137.50.19.137","10.8.0.6","1398","243",""
"153","1563306256.100931","10.8.0.6","137.50.19.137","52","1444","0.768019000"
"154","1563306256.100979","10.8.0.6","137.50.19.137","52","1444","0.767931000"
"155","1563306256.101403","137.50.19.137","10.8.0.6","1398","243",""
"156","1563306256.101406","137.50.19.137","10.8.0.6","1398","243",""
"157","1563306256.101408","137.50.19.137","10.8.0.6","1398","243",""
"158","1563306256.101409","137.50.19.137","10.8.0.6","1398","243",""
"159","1563306256.101438","137.50.19.137","10.8.0.6","1398","243",""
"160","1563306256.101439","137.50.19.137","10.8.0.6","1398","243",""
"161","1563306256.101441","137.50.19.137","10.8.0.6","1398","243",""
"162","1563306256.101442","137.50.19.137","10.8.0.6","1398","243",""
"163","1563306256.101542","137.50.19.137","10.8.0.6","1398","243",""
"164","1563306256.101544","137.50.19.137","10.8.0.6","1398","243",""
"165","1563306256.101545","137.50.19.137","10.8.0.6","1398","243",""
"166","1563306256.101547","137.50.19.137","10.8.0.6","1398","243",""
"167","1563306256.101573","137.50.19.137","10.8.0.6","1398","243",""
"168","1563306256.101575","137.50.19.137","10.8.0.6","1398","243",""
"169","1563306256.101577","137.50.19.137","10.8.0.6","1398","243",""
"170","1563306256.101578","137.50.19.137","10.8.0.6","1398","243",""
"171","1563306256.101647","137.50.19.137","10.8.0.6","1398","243",""
"172","1563306256.101648","137.50.19.137","10.8.0.6","1398","243",""
"173","1563306256.101650","137.50.19.137","10.8.0.6","1398","243",""
"174","1563306256.101651","137.50.19.137","10.8.0.6","1398","243",""
"175","1563306256.144159","10.8.0.6","137.50.19.137","52","1444","0.811107000"
"176","1563306256.144265","10.8.0.6","137.50.19.137","52","1428","0.755230000"
"177","1563306256.144554","137.50.19.137","10.8.0.6","1398","243",""
"178","1563306256.144557","137.50.19.137","10.8.0.6","1398","243",""
"179","1563306256.144559","137.50.19.137","10.8.0.6","1398","243",""
"180","1563306256.144560","137.50.19.137","10.8.0.6","1398","243",""
"181","1563306256.144714","137.50.19.137","10.8.0.6","1398","243",""
"182","1563306256.144717","137.50.19.137","10.8.0.6","1398","243",""
"183","1563306256.144718","137.50.19.137","10.8.0.6","1398","243",""
"184","1563306256.144720","137.50.19.137","10.8.0.6","1398","243",""
"185","1563306256.145807","10.8.0.6","137.50.19.137","52","1444","0.756769000"
"186","1563306256.145831","10.8.0.6","137.50.19.137","52","1444","0.722929000"
"187","1563306256.146342","137.50.19.137","10.8.0.6","1398","243",""
"188","1563306256.146346","137.50.19.137","10.8.0.6","1398","243",""
"189","1563306256.146348","137.50.19.137","10.8.0.6","1398","243",""
"190","1563306256.146349","137.50.19.137","10.8.0.6","1398","243",""
"191","1563306256.146374","137.50.19.137","10.8.0.6","1398","243",""
"192","1563306256.146376","137.50.19.137","10.8.0.6","1398","243",""
"193","1563306256.146377","137.50.19.137","10.8.0.6","1398","243",""
"194","1563306256.146379","137.50.19.137","10.8.0.6","1398","243",""
"195","1563306256.146432","137.50.19.137","10.8.0.6","1398","243",""
"196","1563306256.146433","137.50.19.137","10.8.0.6","1398","243",""
"197","1563306256.192103","10.8.0.6","137.50.19.137","52","1444","0.769200000"
"198","1563306256.192728","137.50.19.137","10.8.0.6","1398","243",""
"199","1563306256.192735","137.50.19.137","10.8.0.6","1398","243",""
"200","1563306256.192737","137.50.19.137","10.8.0.6","1398","243",""
"201","1563306256.592069","10.8.0.6","137.50.19.137","52","1444","0.673626000"
"202","1563306256.592099","10.8.0.6","137.50.19.137","52","1437","0.673624000"
"203","1563306256.592654","137.50.19.137","10.8.0.6","1398","243",""
"204","1563306256.592658","137.50.19.137","10.8.0.6","1398","243",""
"205","1563306256.592660","137.50.19.137","10.8.0.6","1398","243",""
"206","1563306256.592661","137.50.19.137","10.8.0.6","1398","243",""
"207","1563306256.592701","137.50.19.137","10.8.0.6","1398","243",""
"208","1563306256.592703","137.50.19.137","10.8.0.6","1398","243",""
"209","1563306256.592704","137.50.19.137","10.8.0.6","1398","243",""
"210","1563306256.592706","137.50.19.137","10.8.0.6","1398","243",""
"211","1563306256.592771","137.50.19.137","10.8.0.6","1398","243",""
"212","1563306256.592773","137.50.19.137","10.8.0.6","1398","243",""
"213","1563306256.592783","10.8.0.6","137.50.19.137","52","1410","0.674303000"
"214","1563306256.593141","137.50.19.137","10.8.0.6","1398","243",""
"215","1563306256.593144","137.50.19.137","10.8.0.6","1398","243",""
"216","1563306256.593146","137.50.19.137","10.8.0.6","1398","243",""
"217","1563306256.593147","137.50.19.137","10.8.0.6","1398","243",""
"218","1563306256.593216","137.50.19.137","10.8.0.6","1398","243",""
"219","1563306256.593217","137.50.19.137","10.8.0.6","1398","243",""
"220","1563306256.655683","10.8.0.6","137.50.19.137","52","1444","0.736479000"
"221","1563306256.656217","137.50.19.137","10.8.0.6","1398","243",""
"222","1563306256.656224","137.50.19.137","10.8.0.6","1398","243",""
"223","1563306256.656227","137.50.19.137","10.8.0.6","1398","243",""
"224","1563306256.656229","137.50.19.137","10.8.0.6","1398","243",""
"225","1563306256.681517","10.8.0.6","137.50.19.137","52","1444","0.762310000"
"226","1563306256.681670","10.8.0.6","137.50.19.137","52","1444","0.700194000"
"227","1563306256.681960","137.50.19.137","10.8.0.6","1398","243",""
"228","1563306256.681964","137.50.19.137","10.8.0.6","1398","243",""
"229","1563306256.681966","137.50.19.137","10.8.0.6","1398","243",""
"230","1563306256.681968","137.50.19.137","10.8.0.6","1398","243",""
"231","1563306256.682071","137.50.19.137","10.8.0.6","1398","243",""
"232","1563306256.682074","137.50.19.137","10.8.0.6","1398","243",""
