"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"88","1563741518.193089","192.168.121.214","137.50.19.137","54","65535","0.000022000"
"89","1563741518.193318","137.50.19.137","192.168.121.214","1514","8192",""
"90","1563741518.194494","137.50.19.137","192.168.121.214","1514","8192",""
"91","1563741518.194517","192.168.121.214","137.50.19.137","54","65535","0.000023000"
"92","1563741518.194877","137.50.19.137","192.168.121.214","1514","8192",""
"93","1563741518.195967","137.50.19.137","192.168.121.214","1514","8192",""
"94","1563741518.195989","192.168.121.214","137.50.19.137","54","65535","0.000022000"
"95","1563741518.196323","137.50.19.137","192.168.121.214","1514","8192",""
"96","1563741518.197246","137.50.19.137","192.168.121.214","1514","8192",""
"97","1563741518.197264","192.168.121.214","137.50.19.137","54","65535","0.000018000"
"98","1563741518.197946","137.50.19.137","192.168.121.214","1514","8192",""
"99","1563741518.198919","137.50.19.137","192.168.121.214","1514","8192",""
"100","1563741518.198942","192.168.121.214","137.50.19.137","54","65535","0.000023000"
"101","1563741518.202159","137.50.19.137","192.168.121.214","1514","8192",""
"102","1563741518.202439","137.50.19.137","192.168.121.214","1514","8192",""
"103","1563741518.202455","192.168.121.214","137.50.19.137","54","65535","0.000016000"
"104","1563741518.211014","137.50.19.137","192.168.121.214","1514","8192",""
"105","1563741518.211773","137.50.19.137","192.168.121.214","1514","8192",""
"106","1563741518.211805","192.168.121.214","137.50.19.137","54","65535","0.000032000"
"107","1563741518.221554","137.50.19.137","192.168.121.214","1514","8192",""
"108","1563741518.221624","137.50.19.137","192.168.121.214","1514","8192",""
"109","1563741518.221645","192.168.121.214","137.50.19.137","54","65535","0.000021000"
"110","1563741518.221916","137.50.19.137","192.168.121.214","1514","8192",""
"111","1563741518.223243","137.50.19.137","192.168.121.214","1514","8192",""
"112","1563741518.223275","192.168.121.214","137.50.19.137","54","65535","0.000032000"
"113","1563741518.227631","137.50.19.137","192.168.121.214","1514","8192",""
"114","1563741518.227766","137.50.19.137","192.168.121.214","1514","8192",""
"115","1563741518.227791","192.168.121.214","137.50.19.137","54","65535","0.000025000"
"116","1563741518.228182","137.50.19.137","192.168.121.214","1514","8192",""
"117","1563741518.231518","137.50.19.137","192.168.121.214","2974","8192",""
