"No.","Time","Source","Destination","Length","wsize","ack_rtt"
"88","1563773650.150586","137.50.19.137","10.8.0.6","1398","30016",""
"89","1563773650.150631","10.8.0.6","137.50.19.137","52","64608","0.000045000"
"90","1563773650.150697","137.50.19.137","10.8.0.6","1398","30016",""
"91","1563773650.150772","137.50.19.137","10.8.0.6","1398","30016",""
"92","1563773650.150785","10.8.0.6","137.50.19.137","52","64608","0.000013000"
"93","1563773650.150816","137.50.19.137","10.8.0.6","1398","30016",""
"94","1563773650.150847","137.50.19.137","10.8.0.6","1398","30016",""
"95","1563773650.150879","10.8.0.6","137.50.19.137","52","64608","0.000032000"
"96","1563773650.150924","137.50.19.137","10.8.0.6","1398","30016",""
"97","1563773650.150958","137.50.19.137","10.8.0.6","1398","30016",""
"98","1563773650.150968","10.8.0.6","137.50.19.137","52","64608","0.000010000"
"99","1563773650.151031","137.50.19.137","10.8.0.6","1398","30016",""
"100","1563773650.151067","137.50.19.137","10.8.0.6","1398","30016",""
"101","1563773650.151082","10.8.0.6","137.50.19.137","52","64608","0.000015000"
"102","1563773650.151146","137.50.19.137","10.8.0.6","1398","30016",""
"103","1563773650.151168","137.50.19.137","10.8.0.6","1398","30016",""
"104","1563773650.151177","10.8.0.6","137.50.19.137","52","64608","0.000009000"
"105","1563773650.180376","137.50.19.137","10.8.0.6","1398","30016",""
"106","1563773650.200521","137.50.19.137","10.8.0.6","1398","30016",""
"107","1563773650.200569","10.8.0.6","137.50.19.137","52","64608","0.000048000"
"108","1563773650.200627","137.50.19.137","10.8.0.6","1398","30016",""
"109","1563773650.200663","137.50.19.137","10.8.0.6","1398","30016",""
"110","1563773650.200692","10.8.0.6","137.50.19.137","52","64608","0.000029000"
"111","1563773650.200732","137.50.19.137","10.8.0.6","1398","30016",""
"112","1563773650.200762","137.50.19.137","10.8.0.6","1398","30016",""
"113","1563773650.200772","10.8.0.6","137.50.19.137","52","64608","0.000010000"
"114","1563773650.200830","137.50.19.137","10.8.0.6","1398","30016",""
"115","1563773650.200891","137.50.19.137","10.8.0.6","1398","30016",""
"116","1563773650.200899","10.8.0.6","137.50.19.137","52","64608","0.000008000"
"117","1563773650.200923","137.50.19.137","10.8.0.6","1398","30016",""
"118","1563773650.201066","137.50.19.137","10.8.0.6","1398","30016",""
"119","1563773650.201078","10.8.0.6","137.50.19.137","52","64608","0.000012000"
"120","1563773650.201213","137.50.19.137","10.8.0.6","1398","30016",""
"121","1563773650.209346","137.50.19.137","10.8.0.6","1398","30016",""
"122","1563773650.209358","10.8.0.6","137.50.19.137","52","64608","0.000012000"
"123","1563773650.649911","137.50.19.137","10.8.0.6","1398","30016",""
"124","1563773650.649952","137.50.19.137","10.8.0.6","1398","30016",""
"125","1563773650.649969","10.8.0.6","137.50.19.137","52","64608","0.000017000"
"126","1563773650.670300","137.50.19.137","10.8.0.6","1398","30016",""
"127","1563773650.690086","137.50.19.137","10.8.0.6","1398","30016",""
"128","1563773650.690111","10.8.0.6","137.50.19.137","52","64608","0.000025000"
"129","1563773650.690148","137.50.19.137","10.8.0.6","1398","30016",""
"130","1563773650.690173","137.50.19.137","10.8.0.6","1398","30016",""
"131","1563773650.690180","10.8.0.6","137.50.19.137","52","64608","0.000007000"
"132","1563773650.690200","137.50.19.137","10.8.0.6","1398","30016",""
"133","1563773650.700770","137.50.19.137","10.8.0.6","1398","30016",""
"134","1563773650.700794","10.8.0.6","137.50.19.137","52","64608","0.000024000"
"135","1563773650.700842","137.50.19.137","10.8.0.6","1398","30016",""
"136","1563773650.709698","137.50.19.137","10.8.0.6","1269","30016",""
"137","1563773650.709725","10.8.0.6","137.50.19.137","52","64608","0.000027000"
"138","1563773650.711201","10.8.0.6","137.50.19.137","76","64608",""
"139","1563773650.711704","10.8.0.6","137.50.19.137","52","64608",""
"140","1563773651.330179","137.50.19.137","10.8.0.6","76","30016","0.618978000"
"141","1563773651.330222","10.8.0.6","137.50.19.137","40","0",""
"142","1563773651.330258","137.50.19.137","10.8.0.6","52","30016",""
"143","1563773651.330269","10.8.0.6","137.50.19.137","40","0",""
"144","1563773651.339547","137.50.19.137","10.8.0.6","52","30016","0.627843000"
"145","1563773651.339569","10.8.0.6","137.50.19.137","40","0",""
