"Time","Source","Destination","ack_rtt","wsize"
"1562687093.859972","88.210.175.226","137.50.19.227","0.047286000","65535"
"1562687093.862239","88.210.175.226","137.50.19.227","0.048677000","65535"
"1562687093.862425","88.210.175.226","137.50.19.227","","65535"
"1562687093.864283","88.210.175.226","137.50.19.227","0.046703000","65535"
"1562687093.866797","88.210.175.226","137.50.19.227","","65535"
"1562687093.867778","88.210.175.226","137.50.19.227","0.047808000","65535"
"1562687093.869074","88.210.175.226","137.50.19.227","0.047864000","65535"
"1562687093.870477","88.210.175.226","137.50.19.227","","65535"
"1562687093.871690","88.210.175.226","137.50.19.227","0.046439000","65535"
"1562687093.877287","88.210.175.226","137.50.19.227","","65535"
"1562687093.877979","88.210.175.226","137.50.19.227","0.050462000","65535"
"1562687093.877998","88.210.175.226","137.50.19.227","0.040338000","65535"
"1562687093.879892","88.210.175.226","137.50.19.227","","65535"
"1562687093.879944","88.210.175.226","137.50.19.227","0.041158000","65535"
"1562687093.881914","88.210.175.226","137.50.19.227","","65535"
"1562687093.882783","88.210.175.226","137.50.19.227","0.043388000","65535"
"1562687093.884690","88.210.175.226","137.50.19.227","","65535"
"1562687093.884804","88.210.175.226","137.50.19.227","0.043437000","65535"
"1562687093.887380","88.210.175.226","137.50.19.227","","65535"
"1562687093.888328","88.210.175.226","137.50.19.227","0.043931000","65535"
"1562687093.890670","88.210.175.226","137.50.19.227","","65535"
"1562687093.891656","88.210.175.226","137.50.19.227","0.044329000","65535"
"1562687093.893608","88.210.175.226","137.50.19.227","","65535"
"1562687093.895084","88.210.175.226","137.50.19.227","0.045118000","65535"
"1562687094.618390","88.210.175.226","137.50.19.227","","65535"
"1562687094.618516","137.50.19.227","88.210.175.226","0.000126000","31088"
"1562687094.618569","137.50.19.227","88.210.175.226","","31088"
"1562687094.643831","88.210.175.226","137.50.19.227","0.025315000","65535"
"1562687094.643843","88.210.175.226","137.50.19.227","0.025274000","65535"
